# packages in environment at /projects/bgmp/calz/miniforge3/envs/QAA:
#
# Name                    Version                   Build  Channel
libnsl                    2.0.1                hd590300_0    conda-forge
libopenblas               0.3.27          pthreads_hac2b453_1    conda-forge
libpciaccess              0.18                 hd590300_0    conda-forge
libpng                    1.6.43               h2797004_0    conda-forge
libpq                     16.4                 h482b261_0    conda-forge
libsqlite                 3.46.0               hde9e2c9_0    conda-forge
libstdcxx-ng              14.1.0               hc0a3c3a_0    conda-forge
libtiff                   4.6.0                h46a8edc_4    conda-forge
libuuid                   2.38.1               h0b41bf4_0    conda-forge
libwebp-base              1.4.0                hd590300_0    conda-forge
libxcb                    1.16                 hd590300_0    conda-forge
libxcrypt                 4.4.36               hd590300_1    conda-forge
libxkbcommon              1.7.0                h2c5496b_1    conda-forge
libxml2                   2.12.7               he7c6b58_4    conda-forge
libxslt                   1.1.39               h76b75d6_0    conda-forge
libzlib                   1.3.1                h4ab18f5_1    conda-forge
matplotlib                3.9.2           py312h7900ff3_0    conda-forge
matplotlib-base           3.9.2           py312h854627b_0    conda-forge
munkres                   1.1.4              pyh9f0ad1d_0    conda-forge
mysql-common              9.0.1                h70512c7_0    conda-forge
mysql-libs                9.0.1                ha479ceb_0    conda-forge
ncurses                   6.5                  h59595ed_0    conda-forge
numpy                     2.1.0           py312h1103770_0    conda-forge
openjdk                   22.0.1               h8651b0f_1    conda-forge
openjpeg                  2.5.2                h488ebb8_0    conda-forge
openssl                   3.3.1                hb9d3cd8_3    conda-forge
packaging                 24.1               pyhd8ed1ab_0    conda-forge
pcre2                     10.44                hba22ea6_2    conda-forge
perl                      5.32.1          7_hd590300_perl5    conda-forge
pillow                    10.4.0          py312h287a98d_0    conda-forge
pip                       24.2               pyh8b19718_1    conda-forge
pixman                    0.43.2               h59595ed_0    conda-forge
pthread-stubs             0.4               h36c2ea0_1001    conda-forge
pyparsing                 3.1.4              pyhd8ed1ab_0    conda-forge
pyside6                   6.7.2           py312hb5137db_2    conda-forge
python                    3.12.5          h2ad013b_0_cpython    conda-forge
python-dateutil           2.9.0              pyhd8ed1ab_0    conda-forge
python_abi                3.12                    5_cp312    conda-forge
qhull                     2020.2               h434a139_5    conda-forge
qt6-main                  6.7.2                hb12f9c5_5    conda-forge
readline                  8.2                  h8228510_1    conda-forge
setuptools                73.0.1             pyhd8ed1ab_0    conda-forge
six                       1.16.0             pyh6c4a22f_0    conda-forge
tk                        8.6.13          noxft_h4845f30_101    conda-forge
tornado                   6.4.1           py312h9a8786e_0    conda-forge
tzdata                    2024a                h8827d51_1    conda-forge
wayland                   1.23.1               h3e06ad9_0    conda-forge
wheel                     0.44.0             pyhd8ed1ab_0    conda-forge
xcb-util                  0.4.1                hb711507_2    conda-forge
xcb-util-cursor           0.1.4                h4ab18f5_2    conda-forge
xcb-util-image            0.4.0                hb711507_2    conda-forge
xcb-util-keysyms          0.4.1                hb711507_0    conda-forge
xcb-util-renderutil       0.3.10               hb711507_0    conda-forge
xcb-util-wm               0.4.2                hb711507_0    conda-forge
xkeyboard-config          2.42                 h4ab18f5_0    conda-forge
xorg-fixesproto           5.0               h7f98852_1002    conda-forge
xorg-inputproto           2.3.2             h7f98852_1002    conda-forge
xorg-kbproto              1.0.7             h7f98852_1002    conda-forge
xorg-libice               1.1.1                hd590300_0    conda-forge
xorg-libsm                1.2.4                h7391055_0    conda-forge
xorg-libx11               1.8.9                hb711507_1    conda-forge
xorg-libxau               1.0.11               hd590300_0    conda-forge
xorg-libxdmcp             1.1.3                h7f98852_0    conda-forge
xorg-libxext              1.3.4                h0b41bf4_2    conda-forge
xorg-libxfixes            5.0.3             h7f98852_1004    conda-forge
xorg-libxi                1.7.10               h4bc722e_1    conda-forge
xorg-libxrender           0.9.11               hd590300_0    conda-forge
xorg-libxt                1.3.0                hd590300_1    conda-forge
xorg-libxtst              1.2.5                h4bc722e_0    conda-forge
xorg-libxxf86vm           1.1.5                h4bc722e_1    conda-forge
xorg-recordproto          1.14.2            h7f98852_1002    conda-forge
xorg-renderproto          0.11.1            h7f98852_1002    conda-forge
xorg-xextproto            7.3.0             h0b41bf4_1003    conda-forge
xorg-xproto               7.0.31            h7f98852_1007    conda-forge
xz                        5.2.6                h166bdaf_0    conda-forge
zlib                      1.3.1                h4ab18f5_1    conda-forge
zstd                      1.5.6                ha6fb4c9_0    conda-forge
application/gzip
application/gzip
Started analysis of 11_2H_both_S9_L008_R1_001.fastq.gz
Approx 5% complete for 11_2H_both_S9_L008_R1_001.fastq.gz
Approx 10% complete for 11_2H_both_S9_L008_R1_001.fastq.gz
Approx 15% complete for 11_2H_both_S9_L008_R1_001.fastq.gz
Approx 20% complete for 11_2H_both_S9_L008_R1_001.fastq.gz
Approx 25% complete for 11_2H_both_S9_L008_R1_001.fastq.gz
Approx 30% complete for 11_2H_both_S9_L008_R1_001.fastq.gz
Approx 35% complete for 11_2H_both_S9_L008_R1_001.fastq.gz
Approx 40% complete for 11_2H_both_S9_L008_R1_001.fastq.gz
Approx 45% complete for 11_2H_both_S9_L008_R1_001.fastq.gz
Approx 50% complete for 11_2H_both_S9_L008_R1_001.fastq.gz
Approx 55% complete for 11_2H_both_S9_L008_R1_001.fastq.gz
Approx 60% complete for 11_2H_both_S9_L008_R1_001.fastq.gz
Approx 65% complete for 11_2H_both_S9_L008_R1_001.fastq.gz
Approx 70% complete for 11_2H_both_S9_L008_R1_001.fastq.gz
Approx 75% complete for 11_2H_both_S9_L008_R1_001.fastq.gz
Approx 80% complete for 11_2H_both_S9_L008_R1_001.fastq.gz
Approx 85% complete for 11_2H_both_S9_L008_R1_001.fastq.gz
Approx 90% complete for 11_2H_both_S9_L008_R1_001.fastq.gz
Approx 95% complete for 11_2H_both_S9_L008_R1_001.fastq.gz
Analysis complete for 11_2H_both_S9_L008_R1_001.fastq.gz
Started analysis of 11_2H_both_S9_L008_R2_001.fastq.gz
Approx 5% complete for 11_2H_both_S9_L008_R2_001.fastq.gz
Approx 10% complete for 11_2H_both_S9_L008_R2_001.fastq.gz
Approx 15% complete for 11_2H_both_S9_L008_R2_001.fastq.gz
Approx 20% complete for 11_2H_both_S9_L008_R2_001.fastq.gz
Approx 25% complete for 11_2H_both_S9_L008_R2_001.fastq.gz
Approx 30% complete for 11_2H_both_S9_L008_R2_001.fastq.gz
Approx 35% complete for 11_2H_both_S9_L008_R2_001.fastq.gz
Approx 40% complete for 11_2H_both_S9_L008_R2_001.fastq.gz
Approx 45% complete for 11_2H_both_S9_L008_R2_001.fastq.gz
Approx 50% complete for 11_2H_both_S9_L008_R2_001.fastq.gz
Approx 55% complete for 11_2H_both_S9_L008_R2_001.fastq.gz
Approx 60% complete for 11_2H_both_S9_L008_R2_001.fastq.gz
Approx 65% complete for 11_2H_both_S9_L008_R2_001.fastq.gz
Approx 70% complete for 11_2H_both_S9_L008_R2_001.fastq.gz
Approx 75% complete for 11_2H_both_S9_L008_R2_001.fastq.gz
Approx 80% complete for 11_2H_both_S9_L008_R2_001.fastq.gz
Approx 85% complete for 11_2H_both_S9_L008_R2_001.fastq.gz
Approx 90% complete for 11_2H_both_S9_L008_R2_001.fastq.gz
Approx 95% complete for 11_2H_both_S9_L008_R2_001.fastq.gz
Analysis complete for 11_2H_both_S9_L008_R2_001.fastq.gz
	Command being timed: "fastqc -o ./fastqc /projects/bgmp/shared/2017_sequencing/demultiplexed/11_2H_both_S9_L008_R1_001.fastq.gz /projects/bgmp/shared/2017_sequencing/demultiplexed/11_2H_both_S9_L008_R2_001.fastq.gz"
	User time (seconds): 152.83
	System time (seconds): 6.67
	Percent of CPU this job got: 98%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 2:42.04
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 606828
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 0
	Minor (reclaiming a frame) page faults: 87840
	Voluntary context switches: 17796
	Involuntary context switches: 242
	Swaps: 0
	File system inputs: 0
	File system outputs: 4896
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
application/gzip
application/gzip
Started analysis of 29_4E_fox_S21_L008_R1_001.fastq.gz
Approx 5% complete for 29_4E_fox_S21_L008_R1_001.fastq.gz
Approx 10% complete for 29_4E_fox_S21_L008_R1_001.fastq.gz
Approx 15% complete for 29_4E_fox_S21_L008_R1_001.fastq.gz
Approx 20% complete for 29_4E_fox_S21_L008_R1_001.fastq.gz
Approx 25% complete for 29_4E_fox_S21_L008_R1_001.fastq.gz
Approx 30% complete for 29_4E_fox_S21_L008_R1_001.fastq.gz
Approx 35% complete for 29_4E_fox_S21_L008_R1_001.fastq.gz
Approx 40% complete for 29_4E_fox_S21_L008_R1_001.fastq.gz
Approx 45% complete for 29_4E_fox_S21_L008_R1_001.fastq.gz
Approx 50% complete for 29_4E_fox_S21_L008_R1_001.fastq.gz
Approx 55% complete for 29_4E_fox_S21_L008_R1_001.fastq.gz
Approx 60% complete for 29_4E_fox_S21_L008_R1_001.fastq.gz
Approx 65% complete for 29_4E_fox_S21_L008_R1_001.fastq.gz
Approx 70% complete for 29_4E_fox_S21_L008_R1_001.fastq.gz
Approx 75% complete for 29_4E_fox_S21_L008_R1_001.fastq.gz
Approx 80% complete for 29_4E_fox_S21_L008_R1_001.fastq.gz
Approx 85% complete for 29_4E_fox_S21_L008_R1_001.fastq.gz
Approx 90% complete for 29_4E_fox_S21_L008_R1_001.fastq.gz
Approx 95% complete for 29_4E_fox_S21_L008_R1_001.fastq.gz
Analysis complete for 29_4E_fox_S21_L008_R1_001.fastq.gz
Started analysis of 29_4E_fox_S21_L008_R2_001.fastq.gz
Approx 5% complete for 29_4E_fox_S21_L008_R2_001.fastq.gz
Approx 10% complete for 29_4E_fox_S21_L008_R2_001.fastq.gz
Approx 15% complete for 29_4E_fox_S21_L008_R2_001.fastq.gz
Approx 20% complete for 29_4E_fox_S21_L008_R2_001.fastq.gz
Approx 25% complete for 29_4E_fox_S21_L008_R2_001.fastq.gz
Approx 30% complete for 29_4E_fox_S21_L008_R2_001.fastq.gz
Approx 35% complete for 29_4E_fox_S21_L008_R2_001.fastq.gz
Approx 40% complete for 29_4E_fox_S21_L008_R2_001.fastq.gz
Approx 45% complete for 29_4E_fox_S21_L008_R2_001.fastq.gz
Approx 50% complete for 29_4E_fox_S21_L008_R2_001.fastq.gz
Approx 55% complete for 29_4E_fox_S21_L008_R2_001.fastq.gz
Approx 60% complete for 29_4E_fox_S21_L008_R2_001.fastq.gz
Approx 65% complete for 29_4E_fox_S21_L008_R2_001.fastq.gz
Approx 70% complete for 29_4E_fox_S21_L008_R2_001.fastq.gz
Approx 75% complete for 29_4E_fox_S21_L008_R2_001.fastq.gz
Approx 80% complete for 29_4E_fox_S21_L008_R2_001.fastq.gz
Approx 85% complete for 29_4E_fox_S21_L008_R2_001.fastq.gz
Approx 90% complete for 29_4E_fox_S21_L008_R2_001.fastq.gz
Approx 95% complete for 29_4E_fox_S21_L008_R2_001.fastq.gz
Analysis complete for 29_4E_fox_S21_L008_R2_001.fastq.gz
	Command being timed: "fastqc -o ./fastqc /projects/bgmp/shared/2017_sequencing/demultiplexed/29_4E_fox_S21_L008_R1_001.fastq.gz /projects/bgmp/shared/2017_sequencing/demultiplexed/29_4E_fox_S21_L008_R2_001.fastq.gz"
	User time (seconds): 45.66
	System time (seconds): 2.01
	Percent of CPU this job got: 105%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:45.38
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 606168
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 0
	Minor (reclaiming a frame) page faults: 74675
	Voluntary context switches: 7999
	Involuntary context switches: 66
	Swaps: 0
	File system inputs: 0
	File system outputs: 4320
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
